Plot,Subplot,Date,Exposure,Openness
LFDP,100,11-May-12,EV-2,0.107061011
LFDP,100,11-May-12,EV-4,0.052130676
LFDP,100,11-May-12,EV0,0.493135551
LFDP,139,1-May-12,EV-2,0.167433479
LFDP,139,1-May-12,EV-4,0.11307058
LFDP,139,1-May-12,EV0,0.306415221
LFDP,142,4-May-12,EV-2,0.09468468
LFDP,142,4-May-12,EV-4,0.046418583
LFDP,142,4-May-12,EV0,0.219306957
LFDP,145,7-May-12,EV-2,0.087465753
LFDP,145,7-May-12,EV-4,0.04889959
LFDP,145,7-May-12,EV0,0.218476534
LFDP,148,8-May-12,EV-2,0.107188823
LFDP,148,8-May-12,EV-4,0.055256247
LFDP,148,8-May-12,EV0,0.222425407
LFDP,151,11-May-12,EV-2,0.144452928
LFDP,151,11-May-12,EV-4,0.075565213
LFDP,151,11-May-12,EV0,0.518747994
LFDP,190,1-May-12,EV-2,0.073997941
LFDP,190,1-May-12,EV-4,0.037817856
LFDP,190,1-May-12,EV0,0.167676959
LFDP,193,4-May-12,EV-2,0.106625267
LFDP,193,4-May-12,EV-4,0.0541587
LFDP,193,4-May-12,EV0,0.26425191
LFDP,196,7-May-12,EV-2,0.0817176
LFDP,196,7-May-12,EV-4,0.034085097
LFDP,196,7-May-12,EV0,0.259560419
LFDP,199,8-May-12,EV-2,0.169903666
LFDP,199,8-May-12,EV-4,0.085872585
LFDP,199,8-May-12,EV0,0.372085822
LFDP,202,11-May-12,EV-2,0.104109609
LFDP,202,11-May-12,EV-4,0.048335577
LFDP,202,11-May-12,EV0,0.257774244
LFDP,241,1-May-12,EV-2,0.103658209
LFDP,241,1-May-12,EV-4,0.049639832
LFDP,241,1-May-12,EV0,0.260629177
LFDP,244,4-May-12,EV-2,0.076171527
LFDP,244,4-May-12,EV-4,0.041338266
LFDP,244,4-May-12,EV0,0.265852504
LFDP,247,7-May-12,EV-2,0.116686329
LFDP,247,7-May-12,EV-4,0.052318389
LFDP,247,7-May-12,EV0,0.286041404
LFDP,250,8-May-12,EV-2,0.199876001
LFDP,250,8-May-12,EV-4,0.106304364
LFDP,250,8-May-12,EV0,0.430293749
LFDP,253,11-May-12,EV-2,0.240364365
LFDP,253,11-May-12,EV-4,0.149308801
LFDP,253,11-May-12,EV0,0.387031715
LFDP,292,1-May-12,EV-2,0.065093878
LFDP,292,1-May-12,EV-4,0.032107924
LFDP,292,1-May-12,EV0,0.176597549
LFDP,295,4-May-12,EV-2,0.138481349
LFDP,295,4-May-12,EV-4,0.06260315
LFDP,295,4-May-12,EV0,0.367439452
LFDP,298,7-May-12,EV-2,0.111441313
LFDP,298,7-May-12,EV-4,0.063237574
LFDP,298,7-May-12,EV0,0.259630544
LFDP,301,8-May-12,EV-2,0.212316627
LFDP,301,8-May-12,EV-4,0.114464697
LFDP,301,8-May-12,EV0,0.375214192
LFDP,304,11-May-12,EV-2,0.08918695
LFDP,304,11-May-12,EV-4,0.050505806
LFDP,304,11-May-12,EV0,0.201215562
LFDP,343,1-May-12,EV-2,0.065284231
LFDP,343,1-May-12,EV-4,0.03424883
LFDP,343,1-May-12,EV0,0.234075078
LFDP,346,4-May-12,EV-2,0.116324581
LFDP,346,4-May-12,EV-4,0.061239819
LFDP,346,4-May-12,EV0,0.262749143
LFDP,349,7-May-12,EV-2,0.148867979
LFDP,349,7-May-12,EV-4,0.067022947
LFDP,349,7-May-12,EV0,0.349655452
LFDP,352,8-May-12,EV-2,0.097316568
LFDP,352,8-May-12,EV-4,0.046779073
LFDP,352,8-May-12,EV0,0.218517198
LFDP,355,11-May-12,EV-2,0.116858008
LFDP,355,11-May-12,EV-4,0.049018571
LFDP,355,11-May-12,EV0,0.26538831
LFDP,37,1-May-12,EV-2,0.088198896
LFDP,37,1-May-12,EV-4,0.049185019
LFDP,37,1-May-12,EV0,0.193686968
LFDP,394,4-May-12,EV-2,0.178768587
LFDP,394,4-May-12,EV-4,0.076043426
LFDP,394,4-May-12,EV0,0.421169344
LFDP,397,4-May-12,EV-2,0.213326766
LFDP,397,4-May-12,EV-4,0.105189597
LFDP,397,4-May-12,EV0,0.464124928
LFDP,40,4-May-12,EV-2,0.117280304
LFDP,40,4-May-12,EV-4,0.057804866
LFDP,40,4-May-12,EV0,0.331785071
LFDP,400,7-May-12,EV-2,0.115295896
LFDP,400,7-May-12,EV-4,0.064174355
LFDP,400,7-May-12,EV0,0.346697632
LFDP,403,8-May-12,EV-2,0.119985471
LFDP,403,8-May-12,EV-4,0.059077606
LFDP,403,8-May-12,EV0,0.236878011
LFDP,406,11-May-12,EV-2,0.098022585
LFDP,406,11-May-12,EV-4,0.045052538
LFDP,406,11-May-12,EV0,0.227266995
LFDP,43,4-May-12,EV-2,0.179043934
LFDP,43,4-May-12,EV-4,0.067703452
LFDP,43,4-May-12,EV0,0.333301781
LFDP,46,22-May-12,EV-2,0.087945687
LFDP,46,22-May-12,EV-4,0.043349199
LFDP,46,22-May-12,EV0,0.198707346
LFDP,49,11-May-12,EV-2,0.106359954
LFDP,49,11-May-12,EV-4,0.054153567
LFDP,49,11-May-12,EV0,0.278130557
LFDP,88,22-May-12,EV-2,0.127306099
LFDP,88,22-May-12,EV-4,0.072356649
LFDP,88,22-May-12,EV0,0.272030419
LFDP,91,4-May-12,EV-2,0.136392298
LFDP,91,4-May-12,EV-2,0.136392298
LFDP,91,4-May-12,EV-4,0.072679178
LFDP,91,4-May-12,EV0,0.465427482
LFDP,94,7-May-12,EV-2,0.101004436
LFDP,94,7-May-12,EV-4,0.058286894
LFDP,94,7-May-12,EV-4,0.058286894
LFDP,94,7-May-12,EV0,0.222679313
LFDP,97,8-May-12,EV-2,0.109852016
LFDP,97,8-May-12,EV-4,0.065802152
LFDP,97,8-May-12,EV0,0.228398139
